Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.2986,0.3975,8.6502,0.2648,0.2308,0.0000,8.1493,-0.5009,16.5634,FailureType.no_failure,0.5561,FailureType.no_failure,0.6156,0.0000,16.5294,FailureType.no_failure,0.0015,FailureType.no_failure,0.5065,0.0000,0.5561,0.0000,0.6156,0.0000,60.0,NO
Distance,2.75,-5,16.3232,0.4714,8.6616,0.2687,0.2062,0.0000,8.1616,-0.5000,16.5920,FailureType.no_failure,0.5692,FailureType.no_failure,0.6155,0.0000,16.5294,FailureType.no_failure,0.0015,FailureType.no_failure,0.5065,0.0000,0.5692,0.0000,0.6155,0.0000,60.0,NO
Distance,2.75,-5,16.3501,0.5199,8.6735,0.2708,0.1793,0.0000,8.1750,-0.4984,16.6208,FailureType.no_failure,0.5786,FailureType.no_failure,0.6154,0.0000,16.5294,FailureType.no_failure,0.0025,FailureType.no_failure,0.5065,0.0000,0.5786,0.0000,0.6154,0.0000,60.0,NO
Distance,2.75,-5,16.3783,0.5553,8.6858,0.2715,0.1511,0.0000,8.1892,-0.4966,16.6499,FailureType.no_failure,0.5825,FailureType.no_failure,0.6153,0.0000,16.5294,FailureType.no_failure,-0.0018,FailureType.no_failure,0.5065,0.0000,0.5825,-0.0018,0.6153,0.0000,60.0,NO
Distance,2.75,-5,16.4075,0.5784,8.6986,0.2714,0.1218,0.0000,8.2038,-0.4948,16.6790,FailureType.no_failure,0.5850,FailureType.no_failure,0.6152,0.0000,16.5294,FailureType.no_failure,-0.0019,FailureType.no_failure,0.5065,0.0000,0.5850,-0.0019,0.6152,0.0000,60.0,NO
Distance,2.75,-5,16.4374,0.5933,8.7117,0.2707,0.0920,0.0000,8.2187,-0.4930,16.7081,FailureType.no_failure,0.5857,FailureType.no_failure,0.6151,0.0000,16.5294,FailureType.no_failure,0.0011,FailureType.no_failure,0.5065,0.0000,0.5857,0.0000,0.6151,0.0000,60.0,NO
Distance,2.75,-5,16.4675,0.6026,8.7252,0.2696,0.0619,0.0000,8.2338,-0.4915,16.7371,FailureType.no_failure,0.5856,FailureType.no_failure,0.0134,0.0000,16.5294,FailureType.no_failure,0.0016,FailureType.no_failure,0.5065,0.0000,0.5856,0.0000,0.5065,0.0000,60.0,NO
Distance,2.75,-5,18.3859,0.5003,11.8840,0.4817,0.8967,0.0000,9.1929,-2.6910,18.8676,FailureType.no_failure,0.4558,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3235,FailureType.no_failure,0.5972,0.0000,0.4558,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.4056,0.4955,11.9068,0.4792,0.8772,0.0000,9.2028,-2.7040,18.8847,FailureType.no_failure,0.4461,FailureType.no_failure,0.6277,0.0000,19.2828,FailureType.no_failure,0.1063,FailureType.no_failure,0.5965,0.0000,0.4461,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.4252,0.4906,11.9291,0.4765,0.8574,0.0000,9.2126,-2.7165,18.9017,FailureType.no_failure,0.4471,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3154,FailureType.no_failure,0.5973,0.0000,0.4471,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.4447,0.4956,11.9508,0.4736,0.8384,0.0000,9.2223,-2.7285,18.9183,FailureType.no_failure,0.4393,FailureType.no_failure,0.6277,0.0000,19.2831,FailureType.no_failure,0.1172,FailureType.no_failure,0.5954,0.0000,0.4393,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.4641,0.5007,11.9719,0.4706,0.8184,0.0000,9.2320,-2.7398,18.9347,FailureType.no_failure,0.4388,FailureType.no_failure,0.6277,0.0000,19.2825,FailureType.no_failure,0.3117,FailureType.no_failure,0.5977,0.0000,0.4388,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.4834,0.4957,11.9923,0.4672,0.7993,0.0000,9.2417,-2.7506,18.9506,FailureType.no_failure,0.4314,FailureType.no_failure,0.6277,0.0000,19.2827,FailureType.no_failure,0.1095,FailureType.no_failure,0.5968,0.0000,0.4314,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.5026,0.4908,12.0120,0.4634,0.7799,0.0000,9.2513,-2.7607,18.9660,FailureType.no_failure,0.4170,FailureType.no_failure,0.6277,0.0000,19.2825,FailureType.no_failure,0.3059,FailureType.no_failure,0.5977,0.0000,0.4170,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.5217,0.4858,12.0313,0.4585,0.7614,0.0000,9.2608,-2.7704,18.9801,FailureType.no_failure,0.5009,FailureType.no_failure,0.6277,0.0000,19.2831,FailureType.no_failure,0.1144,FailureType.no_failure,0.5954,0.0000,0.5009,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.5407,0.4908,12.0501,0.4542,0.7419,0.0000,9.2704,-2.7797,18.9949,FailureType.no_failure,0.3975,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3205,FailureType.no_failure,0.5972,0.0000,0.3975,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.5596,0.4758,12.0687,0.4481,0.7233,0.0000,9.2798,-2.7889,19.0077,FailureType.no_failure,0.4434,FailureType.no_failure,0.6277,0.0000,19.2830,FailureType.no_failure,0.1015,FailureType.no_failure,0.5959,0.0000,0.4434,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.5784,0.4908,12.0871,0.4427,0.7043,0.0000,9.2892,-2.7978,19.0212,FailureType.no_failure,0.2864,FailureType.no_failure,0.6277,0.0000,19.2827,FailureType.no_failure,0.3254,FailureType.no_failure,0.5967,0.0000,0.3254,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.5972,0.4808,12.1056,0.4361,0.6863,0.0000,9.2986,-2.8070,19.0333,FailureType.no_failure,0.4967,FailureType.no_failure,0.6277,0.0000,19.2835,FailureType.no_failure,0.1043,FailureType.no_failure,0.5941,0.0000,0.4967,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.6158,0.4758,12.1242,0.4300,0.6670,0.0000,9.3079,-2.8163,19.0458,FailureType.no_failure,0.3106,FailureType.no_failure,0.6277,0.0000,19.2828,FailureType.no_failure,0.3281,FailureType.no_failure,0.5964,0.0000,0.3281,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.6343,0.4808,12.1436,0.4224,0.6488,0.0000,9.3172,-2.8264,19.0567,FailureType.no_failure,0.5025,FailureType.no_failure,0.6277,0.0000,19.2831,FailureType.no_failure,0.0900,FailureType.no_failure,0.5952,0.0000,0.5025,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.6528,0.4758,12.1634,0.4156,0.6299,0.0000,9.3264,-2.8370,19.0684,FailureType.no_failure,0.3196,FailureType.no_failure,0.6277,0.0000,19.2827,FailureType.no_failure,0.3160,FailureType.no_failure,0.5967,0.0000,0.3196,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.6711,0.4658,12.1845,0.4078,0.6121,0.0000,9.3356,-2.8489,19.0789,FailureType.no_failure,0.4859,FailureType.no_failure,0.6277,0.0000,19.2833,FailureType.no_failure,0.1079,FailureType.no_failure,0.5948,0.0000,0.4859,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.6894,0.4808,12.2068,0.4008,0.5931,0.0000,9.3447,-2.8621,19.0902,FailureType.no_failure,0.3413,FailureType.no_failure,0.6277,0.0000,19.2825,FailureType.no_failure,0.3100,FailureType.no_failure,0.5975,0.0000,0.3413,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.7076,0.4658,12.2311,0.3924,0.5752,0.0000,9.3538,-2.8774,19.0999,FailureType.no_failure,0.4844,FailureType.no_failure,0.6277,0.0000,19.2828,FailureType.no_failure,0.0916,FailureType.no_failure,0.5966,0.0000,0.4844,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.7256,0.4658,12.2575,0.3850,0.5568,0.0000,9.3628,-2.8947,19.1106,FailureType.no_failure,0.3347,FailureType.no_failure,0.6277,0.0000,19.2824,FailureType.no_failure,0.3298,FailureType.no_failure,0.5978,0.0000,0.3347,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.7436,0.4658,12.2867,0.3768,0.5396,0.0000,9.3718,-2.9148,19.1204,FailureType.no_failure,0.4806,FailureType.no_failure,0.6277,0.0000,19.2832,FailureType.no_failure,0.0872,FailureType.no_failure,0.5950,0.0000,0.4806,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.7615,0.4707,12.3184,0.3696,0.5211,0.0000,9.3807,-2.9376,19.1311,FailureType.no_failure,0.3483,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3311,FailureType.no_failure,0.5971,0.0000,0.3483,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.7793,0.4558,12.3530,0.3612,0.5039,0.0000,9.3896,-2.9634,19.1405,FailureType.no_failure,0.4591,FailureType.no_failure,0.6277,0.0000,19.2831,FailureType.no_failure,0.0894,FailureType.no_failure,0.5953,0.0000,0.4591,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.7968,0.4611,12.3787,0.3538,0.4860,0.0000,9.3984,-2.9803,19.1507,FailureType.no_failure,0.3656,FailureType.no_failure,0.6277,0.0000,19.2828,FailureType.no_failure,0.3295,FailureType.no_failure,0.5965,0.0000,0.3656,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.8142,0.4521,12.3988,0.3461,0.4688,0.0000,9.4071,-2.9917,19.1603,FailureType.no_failure,0.4453,FailureType.no_failure,0.6277,0.0000,19.2830,FailureType.no_failure,0.0996,FailureType.no_failure,0.5958,0.0000,0.4453,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.8313,0.4544,12.4193,0.3387,0.4510,0.0000,9.4156,-3.0037,19.1700,FailureType.no_failure,0.3706,FailureType.no_failure,0.6277,0.0000,19.2823,FailureType.no_failure,0.3179,FailureType.no_failure,0.5983,0.0000,0.3706,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.8481,0.4389,12.4403,0.3313,0.4348,0.0000,9.4240,-3.0163,19.1793,FailureType.no_failure,0.4337,FailureType.no_failure,0.6277,0.0000,19.2829,FailureType.no_failure,0.0924,FailureType.no_failure,0.5962,0.0000,0.4337,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.8645,0.4460,12.4612,0.3249,0.4182,0.0000,9.4322,-3.0290,19.1893,FailureType.no_failure,0.3799,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3296,FailureType.no_failure,0.5970,0.0000,0.3799,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.8805,0.4220,12.4821,0.3184,0.4026,0.0000,9.4402,-3.0419,19.1989,FailureType.no_failure,0.4312,FailureType.no_failure,0.6277,0.0000,19.2830,FailureType.no_failure,0.0892,FailureType.no_failure,0.5956,0.0000,0.4312,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.8951,0.5205,12.5016,0.3134,0.3876,0.0000,9.4475,-3.0541,19.2085,FailureType.no_failure,0.3845,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3243,FailureType.no_failure,0.5972,0.0000,0.3845,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9102,0.3968,12.5209,0.3077,0.3731,0.0000,9.4551,-3.0658,19.2179,FailureType.no_failure,0.4068,FailureType.no_failure,0.6277,0.0000,19.2833,FailureType.no_failure,0.0984,FailureType.no_failure,0.5947,0.0000,0.4068,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9235,0.4610,12.5388,0.3042,0.3596,0.0000,9.4618,-3.0771,19.2277,FailureType.no_failure,0.4045,FailureType.no_failure,0.6277,0.0000,19.2831,FailureType.no_failure,0.3426,FailureType.no_failure,0.5955,0.0000,0.4045,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9373,0.2905,12.5569,0.3000,0.3460,0.0000,9.4687,-3.0883,19.2373,FailureType.no_failure,0.4076,FailureType.no_failure,0.6277,0.0000,19.2833,FailureType.no_failure,0.0853,FailureType.no_failure,0.5946,0.0000,0.4076,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9499,0.4991,12.5732,0.2968,0.3326,0.0000,9.4750,-3.0982,19.2468,FailureType.no_failure,0.3883,FailureType.no_failure,0.6277,0.0000,19.2826,FailureType.no_failure,0.3265,FailureType.no_failure,0.5974,0.0000,0.3883,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9631,0.3372,12.5896,0.2929,0.3199,0.0000,9.4815,-3.1081,19.2560,FailureType.no_failure,0.4211,FailureType.no_failure,0.6277,0.0000,19.2830,FailureType.no_failure,0.0852,FailureType.no_failure,0.5958,0.0000,0.4211,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9745,0.4919,12.6044,0.2911,0.3080,0.0000,9.4872,-3.1172,19.2656,FailureType.no_failure,0.3778,FailureType.no_failure,0.6277,0.0000,19.2825,FailureType.no_failure,0.3181,FailureType.no_failure,0.5974,0.0000,0.3778,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9866,0.3408,12.6192,0.2886,0.2962,0.0000,9.4933,-3.1259,19.2751,FailureType.no_failure,0.4112,FailureType.no_failure,0.6277,0.0000,19.2828,FailureType.no_failure,0.0970,FailureType.no_failure,0.5966,0.0000,0.4112,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,18.9976,0.4793,12.6328,0.2867,0.2845,0.0000,9.4988,-3.1339,19.2843,FailureType.no_failure,0.3930,FailureType.no_failure,0.6277,0.0000,19.2822,FailureType.no_failure,0.3122,FailureType.no_failure,0.5987,0.0000,0.3930,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,19.0095,0.3630,12.6468,0.2840,0.2734,0.0000,9.5047,-3.1421,19.2935,FailureType.no_failure,0.3901,FailureType.no_failure,0.6277,0.0000,19.2829,FailureType.no_failure,0.1041,FailureType.no_failure,0.5961,0.0000,0.3901,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,19.0199,0.4656,12.6599,0.2830,0.2624,0.0000,9.5099,-3.1500,19.3029,FailureType.no_failure,0.4011,FailureType.no_failure,0.6277,0.0000,19.2822,FailureType.no_failure,0.3279,FailureType.no_failure,0.5986,0.0000,0.4011,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,19.0309,0.3812,12.6733,0.2807,0.2520,0.0000,9.5155,-3.1579,19.3116,FailureType.no_failure,0.3703,FailureType.no_failure,0.6277,0.0000,19.2830,FailureType.no_failure,0.1010,FailureType.no_failure,0.5959,0.0000,0.3703,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,19.0414,0.4487,12.6862,0.2792,0.2413,0.0000,9.5207,-3.1655,19.3206,FailureType.no_failure,0.4117,FailureType.no_failure,0.6277,0.0000,19.2827,FailureType.no_failure,0.3309,FailureType.no_failure,0.5969,0.0000,0.4117,0.0000,0.6277,0.0000,70.0,NO
Distance,2.75,-5,19.0523,0.3895,12.6998,0.2773,0.2313,0.0000,9.5262,-3.1736,19.3296,FailureType.no_failure,0.3743,FailureType.no_failure,0.6277,0.0000,19.2836,FailureType.no_failure,0.0894,FailureType.no_failure,0.5934,0.0000,0.3743,0.0000,0.6277,0.0000,70.0,NO
