Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.0,-3.5,0.2659,-0.1944,-0.1162,0.1267,0.4483,FailureType.no_failure,FailureType.omission,1.9603,FailureType.omission,-1,-1,-0.06769999999999998,FailureType.no_failure,-1.2452,FailureType.no_failure,0.2988,0.0000,1.9603,-1.2452,0.5568,0.0000,NO
Distance,2.0,-3.5,0.2158,-0.1991,-0.1233,0.1516,0.4474,FailureType.no_failure,FailureType.omission,1.5554,FailureType.omission,-1,-1,-0.04749999999999999,FailureType.no_failure,-1.2378,FailureType.no_failure,0.2997,0.0000,1.5554,-1.2378,0.5577,0.0000,NO
Distance,2.0,-3.5,-0.2269,-0.1593,-0.1064,0.0903,0.4486,FailureType.no_failure,FailureType.omission,-0.0910,FailureType.omission,-1,-1,-0.06899999999999999,FailureType.no_failure,-1.2390,FailureType.no_failure,0.3001,0.0000,0.0000,-1.2390,0.5585,0.0000,NO
Distance,2.0,-3.5,-0.7061,-0.0853,-0.0697,-0.0418,0.4516,FailureType.no_failure,FailureType.omission,-2.4796,FailureType.omission,-1,-1,-0.1271,FailureType.no_failure,-1.2341,FailureType.no_failure,0.3001,0.0000,0.0000,-2.4796,0.3001,0.0000,SA
Distance,2.0,-3.5,-1.0525,0.0045,-0.021,-0.2166,0.4559,FailureType.no_failure,FailureType.omission,-4.8784,FailureType.omission,-1,-1,-0.21209999999999998,FailureType.no_failure,-1.2352,FailureType.no_failure,0.2996,0.0000,0.0000,-4.8784,0.2996,0.0000,NO
Distance,2.75,-5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2.75,-5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.omission,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2.75,-5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.omission,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2.75,-5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.omission,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2.75,-5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.omission,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2,-3.5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2,-3.5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.omission,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.omission,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.omission,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,-1,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.omission,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2.75,-5,0,0,0,0.0000,2,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2.75,-5,0,0,0,0.0000,2,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.omission,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
