Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5,0.5557,0.9464,0.9464,-4.0781,0.1435,FailureType.no_failure,FailureType.no_failure,1.1438,FailureType.no_failure,0.6878,0.0000,FailureType.no_failure,1.1438,FailureType.no_failure,0.6878,0.0000,1.1438,0.0000,0.6878,0.0000,PA
Distance,2.75,-5,0.5632,0.9751,0.9751,-4.1805,0.1518,FailureType.no_failure,FailureType.no_failure,1.1365,FailureType.no_failure,0.6868,0.0000,FailureType.no_failure,1.1365,FailureType.no_failure,0.6868,0.0000,1.1365,0.0000,0.6868,0.0000,PA
Distance,2.75,-5,0.567,1.0035,1.0035,-4.2821,0.1603,FailureType.no_failure,FailureType.no_failure,1.1413,FailureType.no_failure,0.6862,0.0000,FailureType.no_failure,1.1413,FailureType.no_failure,0.6862,0.0000,1.1413,0.0000,0.6862,0.0000,PA
Distance,2.75,-5,0.5709,1.0316,1.0316,-4.383,0.169,FailureType.no_failure,FailureType.no_failure,1.1339,FailureType.no_failure,0.6860,0.0000,FailureType.no_failure,1.1339,FailureType.no_failure,0.6860,0.0000,1.1339,0.0000,0.6860,0.0000,PA
Distance,2.75,-5,0.5759,1.0594,1.0594,-4.4832,0.1779,FailureType.no_failure,FailureType.no_failure,1.1314,FailureType.no_failure,0.6863,0.0000,FailureType.no_failure,1.1314,FailureType.no_failure,0.6863,0.0000,1.1314,0.0000,0.6863,0.0000,PA
Distance,2.75,-5,0.576,1.0868,1.0868,-4.5827,0.187,FailureType.no_failure,FailureType.no_failure,1.1338,FailureType.no_failure,0.6870,0.0000,FailureType.no_failure,1.1338,FailureType.no_failure,0.6870,0.0000,1.1338,0.0000,0.6870,0.0000,PA
Distance,2.75,-5,0.5834,1.114,1.114,-4.6815,0.1963,FailureType.no_failure,FailureType.no_failure,1.1239,FailureType.no_failure,0.6877,0.0000,FailureType.no_failure,1.1239,FailureType.no_failure,0.6877,0.0000,1.1239,0.0000,0.6877,0.0000,PA
Distance,2.75,-5,0.586,1.1411,1.1411,-4.7796,0.2058,FailureType.no_failure,FailureType.no_failure,1.1362,FailureType.no_failure,0.6884,0.0000,FailureType.no_failure,1.1362,FailureType.no_failure,0.6884,0.0000,1.1362,0.0000,0.6884,0.0000,PA
Distance,2.75,-5,0.586,1.1681,1.1681,-4.877,0.2155,FailureType.no_failure,FailureType.no_failure,1.1314,FailureType.no_failure,0.6887,0.0000,FailureType.no_failure,1.1314,FailureType.no_failure,0.6887,0.0000,1.1314,0.0000,0.6887,0.0000,PA
Distance,2.75,-5,0.596,1.1949,1.1949,-4.9736,0.2254,FailureType.no_failure,FailureType.no_failure,1.1313,FailureType.no_failure,0.6886,0.0000,FailureType.no_failure,1.1313,FailureType.no_failure,0.6886,0.0000,1.1313,0.0000,0.6886,0.0000,PA
Distance,2.75,-5,0.5986,1.2217,1.2217,-5.0696,0.2355,FailureType.no_failure,FailureType.no_failure,1.1388,FailureType.no_failure,0.6882,0.0000,FailureType.no_failure,1.1388,FailureType.no_failure,0.6882,0.0000,1.1388,0.0000,0.6882,0.0000,PA
Distance,2.75,-5,0.6012,1.2483,1.2483,-5.1648,0.2458,FailureType.no_failure,FailureType.no_failure,1.1314,FailureType.no_failure,0.6876,0.0000,FailureType.no_failure,1.1314,FailureType.no_failure,0.6876,0.0000,1.1314,0.0000,0.6876,0.0000,PA
Distance,2.75,-5,0.6061,1.2747,1.2747,-5.2593,0.2562,FailureType.no_failure,FailureType.no_failure,1.1388,FailureType.no_failure,0.6871,0.0000,FailureType.no_failure,1.1388,FailureType.no_failure,0.6871,0.0000,1.1388,0.0000,0.6871,0.0000,PA
Distance,2.75,-5,0.6112,1.3013,1.3013,-5.353,0.2669,FailureType.no_failure,FailureType.no_failure,1.1195,FailureType.no_failure,0.6852,0.0000,FailureType.no_failure,1.1195,FailureType.no_failure,0.6852,0.0000,1.1195,0.0000,0.6852,0.0000,PA
