Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.3471,-0.7135,8.3628,0.1796,0.1796,0.0000,8.1736,-0.1892,16.5267,FailureType.no_failure,0.0408,FailureType.no_failure,0.5163,0.0000,16.5267,FailureType.no_failure,0.0408,FailureType.no_failure,0.5163,0.0000,0.0408,0.0000,0.5163,0.0000,60.0,NO
Distance,2.75,-5,16.3357,-0.3280,8.3722,0.1914,0.1914,0.0000,8.1678,-0.2044,16.5271,FailureType.no_failure,0.0388,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0388,FailureType.no_failure,0.5151,0.0000,0.0388,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.3363,-0.0266,8.3818,0.1911,0.1911,0.0000,8.1681,-0.2136,16.5274,FailureType.no_failure,0.0565,FailureType.no_failure,0.5139,0.0000,16.5274,FailureType.no_failure,0.0565,FailureType.no_failure,0.5139,0.0000,0.0565,0.0000,0.5139,0.0000,60.0,NO
Distance,2.75,-5,16.3453,0.1404,8.3910,0.1819,0.1819,0.0000,8.1727,-0.2183,16.5272,FailureType.no_failure,0.0275,FailureType.no_failure,0.5145,0.0000,16.5272,FailureType.no_failure,0.0275,FailureType.no_failure,0.5145,0.0000,0.0275,0.0000,0.5145,0.0000,60.0,NO
Distance,2.75,-5,16.3599,0.2948,8.3996,0.1672,0.1672,0.0000,8.1799,-0.2196,16.5271,FailureType.no_failure,0.0402,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0402,FailureType.no_failure,0.5151,0.0000,0.0402,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.3787,0.3798,8.4074,0.1483,0.1483,0.0000,8.1893,-0.2180,16.5270,FailureType.no_failure,0.0398,FailureType.no_failure,0.5155,0.0000,16.5270,FailureType.no_failure,0.0398,FailureType.no_failure,0.5155,0.0000,0.0398,0.0000,0.5155,0.0000,60.0,NO
Distance,2.75,-5,16.4005,0.4450,8.4141,0.1264,0.1264,0.0000,8.2003,-0.2139,16.5269,FailureType.no_failure,0.0369,FailureType.no_failure,0.5156,0.0000,16.5269,FailureType.no_failure,0.0369,FailureType.no_failure,0.5156,0.0000,0.0369,0.0000,0.5156,0.0000,60.0,NO
Distance,2.75,-5,16.4244,0.5000,8.4197,0.1022,0.1022,0.0000,8.2122,-0.2075,16.5266,FailureType.no_failure,0.0322,FailureType.no_failure,0.5168,0.0000,16.5266,FailureType.no_failure,0.0322,FailureType.no_failure,0.5168,0.0000,0.0322,0.0000,0.5168,0.0000,60.0,NO
Distance,2.75,-5,16.4498,0.5438,8.4241,0.0767,0.0767,0.0000,8.2249,-0.1992,16.5265,FailureType.no_failure,0.0329,FailureType.no_failure,0.5173,0.0000,16.5265,FailureType.no_failure,0.0329,FailureType.no_failure,0.5173,0.0000,0.0329,0.0000,0.5173,0.0000,60.0,NO
Distance,2.75,-5,16.4756,0.5400,8.4272,0.0510,0.0510,0.0000,8.2378,-0.1894,16.5266,FailureType.no_failure,0.0386,FailureType.no_failure,0.5168,0.0000,16.5266,FailureType.no_failure,0.0386,FailureType.no_failure,0.5168,0.0000,0.0386,0.0000,0.5168,0.0000,60.0,NO
